ADJOE,ADJDE,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,3P_O,3P_D,ADJ_T,WIN_PCT,CONF_ACC,CONF_AE,CONF_ASun,CONF_Amer,CONF_B10,CONF_B12,CONF_BE,CONF_BSky,CONF_BSth,CONF_BW,CONF_CAA,CONF_CUSA,CONF_GWC,CONF_Horz,CONF_Ind,CONF_Ivy,CONF_MAAC,CONF_MAC,CONF_MEAC,CONF_MVC,CONF_MWC,CONF_NEC,CONF_OVC,CONF_P12,CONF_Pat,CONF_SB,CONF_SC,CONF_SEC,CONF_SWAC,CONF_Slnd,CONF_Sum,CONF_WAC,CONF_WCC
107.2,96.2,48.9,45.9,18.7,18.3,35.5,30.9,39.9,28.9,35.2,31.9,62.7,0.6285714285714286,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98.9,92.9,46.7,45.8,19.9,20.1,29.6,30.8,36.4,34.4,32.1,31.6,64.8,0.5151515151515151,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
104.5,100.7,47.3,48.7,20.5,17.5,34.0,31.3,42.4,35.2,29.6,35.0,67.8,0.53125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
102.1,91.0,48.9,43.9,20.8,21.8,32.3,29.2,47.3,46.0,30.5,27.3,65.9,0.6875,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
106.7,94.6,52.1,46.0,15.6,21.1,22.2,33.4,32.9,33.5,34.0,30.3,62.2,0.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98.2,97.3,45.3,48.3,19.2,19.0,31.5,30.4,35.2,31.3,29.9,34.8,64.0,0.4193548387096774,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94.1,102.8,46.2,51.6,21.7,20.9,27.2,32.1,41.5,44.5,32.0,35.7,63.4,0.3225806451612903,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
102.4,98.5,47.1,48.4,18.9,19.7,35.0,29.0,37.9,33.9,31.4,36.2,65.0,0.5806451612903226,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
113.0,106.0,52.0,52.0,14.2,15.8,24.9,30.8,32.3,30.6,35.5,34.3,71.3,0.59375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
108.2,105.1,53.9,49.4,18.9,15.6,27.9,28.4,33.6,38.6,36.6,40.2,73.6,0.4848484848484848,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
101.8,100.4,51.5,51.4,20.4,22.4,30.4,26.9,33.6,40.5,34.6,33.4,67.5,0.5333333333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
101.4,103.1,45.1,48.4,18.6,10.2,33.5,22.8,34.4,30.0,29.2,35.3,68.6,0.34375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
114.9,99.1,50.8,48.7,16.5,17.5,34.4,27.9,39.1,27.0,37.1,33.0,67.2,0.7368421052631579,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99.2,105.3,47.7,53.3,18.8,19.1,24.9,34.3,30.9,34.9,33.6,38.1,67.0,0.2666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
102.1,100.7,49.1,48.3,17.5,17.1,25.9,30.4,36.5,40.2,33.0,31.3,71.6,0.4375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
107.6,98.3,50.4,47.6,17.5,18.8,30.6,26.3,37.6,39.6,36.5,33.3,65.7,0.53125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
112.6,104.0,54.7,50.9,14.7,18.2,23.2,31.7,35.2,36.1,35.6,36.0,69.2,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96.4,100.2,47.7,50.0,19.5,18.5,20.7,27.9,37.8,39.3,32.8,32.8,69.6,0.34375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
113.2,104.4,51.5,49.6,16.5,19.0,31.3,33.4,37.5,37.4,37.3,32.1,68.9,0.7096774193548387,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
108.8,98.6,51.6,49.7,17.4,17.1,25.1,26.9,31.5,33.4,34.1,38.1,69.7,0.53125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
101.6,106.1,48.9,49.9,20.0,17.6,29.0,30.2,37.1,33.3,33.4,35.9,71.7,0.3125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96.6,98.2,48.4,53.0,19.7,25.6,23.4,31.0,26.7,43.5,33.2,36.1,65.8,0.4193548387096774,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
106.1,103.7,49.3,48.6,18.7,14.2,31.6,24.5,39.7,27.7,34.2,32.7,70.0,0.6060606060606061,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
107.1,103.8,49.5,50.2,19.3,16.2,32.7,26.4,36.6,26.9,37.1,35.4,67.0,0.5714285714285714,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
109.1,107.0,53.3,54.3,18.6,17.7,25.7,27.6,38.3,33.1,36.4,39.4,69.9,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99.6,99.5,49.7,46.9,20.3,19.6,28.1,30.2,34.6,44.5,29.7,34.5,73.6,0.4545454545454545,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
110.0,102.5,53.9,49.9,16.2,20.0,20.7,30.7,31.6,34.6,34.2,32.1,70.1,0.6285714285714286,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
101.6,102.6,46.6,51.2,17.0,18.0,29.8,26.6,40.1,32.5,32.4,34.9,70.0,0.3548387096774194,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
95.5,103.2,47.0,50.6,20.3,16.9,24.2,27.3,34.4,38.5,34.2,35.6,65.2,0.3636363636363636,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
107.2,100.4,49.7,49.9,17.6,20.9,33.0,31.0,42.4,41.5,34.8,35.3,70.0,0.625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
108.3,106.8,55.5,54.4,20.2,18.4,25.8,27.5,31.8,29.2,33.7,38.3,67.2,0.4516129032258064,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
104.8,106.8,49.7,50.8,17.6,18.4,33.0,28.9,35.4,36.4,35.0,33.5,67.3,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94.1,104.9,47.9,52.3,18.5,21.1,18.8,32.8,26.9,30.4,28.8,35.1,67.2,0.2903225806451613,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
101.4,105.6,49.1,52.1,18.2,16.1,27.9,26.7,31.8,30.8,32.6,35.3,70.1,0.4848484848484848,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
